Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
+	55	16077821	yfmA	BSU07540	-	-	hypothetical protein	827252	827419	OF228
+	115	16077822	yflT	BSU07550	-	-	heat stress induced protein	827455	827802	OF228
+	420	16077823	pel	BSU07560	-	COG3866G	pectate lyase	827993	829255	OF228
+	478	16077824	yflS	BSU07570	-	COG0471P	2-oxoglutarate/malate transporter	829382	830818	OF229
+	542	16077825	citS	BSU07580	-	COG3290T	two-component sensor histidine kinase	830945	832573	OF230
+	226	16077826	citT	BSU07590	-	COG4565KT	two-component response regulator	832545	833225	OF230
+	319	255767186	yflP	BSU07600	-	COG3181S	hypothetical protein	833228	834187	OF230
+	433	16077828	citM	BSU07610	-	COG2851C	transporter of divalent metal ions/citrate complexes	834383	835684	OF230
+	264	16077829	yflN	BSU07620	-	COG0491R	metal-dependent hydrolase	835740	836534	OF231
+	363	255767187	nosA	BSU07630	-	COG4362PE	nitric-oxide synthase	836653	837744	OF232
-	91	16077831	yflL	BSU07640	-	COG1254C	acylphosphatase	837735	838010	OR1
+	221	16077832	yflK	BSU07650	-	COG2258S	sulfur carrier	838077	838742	OF233
-	45	16077833	yflJ	BSU07660	-	-	hypothetical protein	838783	838920	OR1
-	51	16077834	yflI	BSU07670	-	-	hypothetical protein	839077	839232	OR1
-	104	16077835	yflH	BSU07680	-	-	hypothetical protein	839339	839653	OR1
-	249	16077836	yflG	BSU07690	-	COG0024J	methionine aminopeptidase	839735	840484	OR1
+	452	16077837	nagP	BSU07700	-	COG1263G	PTS system N-acetylglucosamine-specific transporter subunit IICB	840656	842014	OF234
-	649	16077838	yflE	BSU07710	-	COG1368M	anion transporter	842047	843996	OR1
+	45	16077839	yflD	BSU07720	-	-	hypothetical protein	844097	844234	OF235
+	130	255767188	yflB	BSU07735	-	-	hypothetical protein	844253	844645	OF235
+	471	16077842	yflA	BSU07750	-	COG1115E	aminoacid transporter	844770	846185	OF235
-	358	16077843	yfkT	BSU07760	-	-	spore germination integral inner membrane protein	846182	847258	OR1
-	66	16077844	yfkS	BSU07770	-	-	hypothetical protein	847282	847482	OR1
-	384	16077845	yfkR	BSU07780	-	-	spore germination protein	847498	848652	OR1
-	513	16077846	yfkQ	BSU07790	-	-	spore germination protein	848633	850174	OR1
+	470	16077847	treP	BSU07800	-	COG1263G	PTS system trehalose-specific transporter subunit IIBC	850367	851779	OF236
+	561	16077848	treA	BSU07810	-	COG0366G	trehalose-6-phosphate hydrolase	851850	853535	OF237
+	238	16077849	treR	BSU07820	-	COG2188K	GntR family transcriptional regulator	853556	854272	OF237
+	221	16077850	yfkO	BSU07830	-	COG0778C	NAD(P)H-flavin oxidoreductase	854412	855077	OF237
-	1462	16077851	yfkN	BSU07840	-	COG0737F	bifunctional 2',3'-cyclic nucleotide 2'-phosphodiesterase/3'-nucleotidase precursor protein	855114	859502	OR1
+	172	16077852	yfkM	BSU07850	-	COG0693R	general stress protein 18	859745	860263	OF238
-	396	16077853	yfkL	BSU07860	-	COG2814G	efflux transporter	860303	861493	OR1
-	71	16077854	yfkK	BSU07870	-	COG4840S	hypothetical protein	861586	861801	OR1
+	156	16077855	yfkJ	BSU07880	-	COG0394T	protein-tyrosine-phosphatase	862004	862474	OF239
+	106	16077856	yfkI	BSU07890	-	-	hypothetical protein	862492	862812	OF239
+	275	16077857	yfkH	BSU07900	-	COG1295S	hypothetical protein	862836	863663	OF239
-	391	16077858	yfkF	BSU07910	-	COG2271G	efflux transporter	863862	865037	OR1
+	351	16077859	yfkE	BSU07920	-	COG0387P	H+/Ca2+ antiporter	865205	866260	OF239
+	264	16077860	yfkD	BSU07930	-	-	hypothetical protein	866331	867125	OF240
-	280	16077861	yfkC	BSU07940	-	COG0668M	mechanosensitive ion channel protein MscS	867164	868006	OR1
-	373	255767189	yfkA	BSU07955	-	COG0535R	Fe-S oxidoreductase	868007	869128	OR1
+	61	16077864	yfjT	BSU07970	-	-	hypothetical protein	869273	869458	OF241
+	263	16077865	pdaA	BSU07980	-	COG0726G	N-acetylmuramic acid deacetylase	869559	870350	OF242
-	286	255767190	yfjR	BSU07990	-	COG2084I	beta-hydroxyacid dehydrogenase	870388	871248	OR1
-	319	16077867	yfjQ	BSU08000	-	COG0598P	divalent cation transport protein	871347	872306	OR1
+	287	16077868	yfjP	BSU08010	-	COG0122L	DNA-modified purine glycosidase	872425	873288	OF243
+	466	16077869	yfjO	BSU08020	-	COG2265J	RNA methyltransferase	873402	874802	OF244
+	88	255767191	yfzA	BSU08029	-	-	hypothetical protein	875428	875694	OF245
+	325	16077870	dusC	BSU08030	-	COG0042J	tRNA-dihydrouridine synthase	876426	877403	OF246
+	150	16077871	yfjM	BSU08040	-	-	hypothetical protein	877599	878051	OF247
+	229	16077872	yfjL	BSU08050	-	-	hypothetical protein	878081	878770	OF247
+	333	16077873	acoA	BSU08060	-	COG1071C	acetoin dehydrogenase E1 component subunit alpha	879002	880003	OF247
+	342	16077874	acoB	BSU08070	-	COG0022C	acetoin dehydrogenase E1 component subunit beta	880007	881035	OF247
+	398	16077875	acoC	BSU08080	-	COG0508C	branched-chain alpha-keto acid dehydrogenase E2 subunit	881049	882245	OF247
+	458	16077876	acoL	BSU08090	-	COG1249C	dihydrolipoamide dehydrogenase	882266	883642	OF247
+	605	16077877	acoR	BSU08100	-	COG3284QK	transcriptional regulator	883758	885575	OF247
+	59	16077878	sspH	BSU08110	-	-	acid-soluble spore protein H	885629	885808	OF248
-	109	16077879	yfjF	BSU08120	-	COG1742S	hypothetical protein	885844	886173	OR1
-	152	16077880	yfjE	BSU08130	-	-	hypothetical protein	886223	886681	OR1
-	185	16077881	yfjD	BSU08140	-	-	hypothetical protein	886775	887332	OR1
-	255	16077882	yfjC	BSU08150	-	-	hypothetical protein	887364	888131	OR1
-	407	16077883	yfjB	BSU08160	-	COG3941R	hypothetical protein	888143	889366	OR1
-	104	16077884	yfjA	BSU08170	-	COG4842S	hypothetical protein	889372	889686	OR1
+	449	16077885	malA	BSU08180	-	COG1486G	6-phospho-alpha-glucosidase	890022	891371	OF249
+	254	16077886	malR	BSU08190	-	COG1737K	Mal operon transcriptional activator	891436	892200	OF250
+	527	16077887	malP	BSU08200	-	COG1263G	PTS system maltose-specific transporter subunit IICB	892215	893798	OF250
+	573	16077888	malQ	BSU08210	-	COG1132V	maltose and maltodextrin ABC transporter subunit ATP-binding protein	893904	895625	OF250
+	604	16077889	yfiC	BSU08220	-	COG1132V	ABC transporter ATP-binding protein	895619	897433	OF250
+	134	16077890	catD	BSU08230	-	COG2259S	catechol-2,3-dioxygenase membrane subunit	897588	897992	OF250
+	285	255767192	catE	BSU08240	-	COG2514R	catechol-2,3-dioxygenase subunit	898010	898867	OF250
+	314	16077892	yfiF	BSU08250	-	COG4977K	AraC family transcriptional regulator	898961	899905	OF250
+	482	16077893	yfiG	BSU08260	-	COG2814G	sugar transporter	900080	901528	OF251
+	313	16077894	yfiH	BSU08270	-	COG1082G	sugar-phosphate epimerase/isomerase	901555	902496	OF251
+	393	16077895	yfiI	BSU08280	-	COG0673R	oxidoreductase	902506	903687	OF251
+	400	16077896	yfiJ	BSU08290	-	COG4585T	two-component sensor histidine kinase YfiK	903811	905013	OF251
+	220	16077897	yfiK	BSU08300	-	COG2197TK	two-component response regulator YfiJ	905010	905672	OF251
+	311	255767193	yfiL	BSU08310	-	COG1131V	ABC transporter ATP-binding protein	905816	906751	OF251
+	396	16077899	yfiM	BSU08320	-	COG0842V	ABC transporter permease	906764	907954	OF251
+	385	16077900	yfiN	BSU08330	-	COG0842V	ABC transporter permease	907968	909125	OF251
-	182	16077901	padR	BSU08340	-	COG1695K	transcriptional regulator	909198	909746	OR1
+	210	16077902	estB	BSU08350	-	COG1075R	secreted esterase / lipase	910019	910651	OF251
+	362	16077903	yfiQ	BSU08360	-	COG3936G	hypothetical protein	910840	911928	OF252
-	205	16077904	yfiR	BSU08370	-	COG1309K	TetR/AcrR family transcriptional regulator	911964	912581	OR1
-	417	16077905	yfiS	BSU08380	-	COG2814G	efflux transporter	912547	913800	OR1
+	178	16077906	yfiT	BSU08390	-	-	metal-dependent hydrolase	913924	914460	OF253
-	518	16077907	yfiU	BSU08400	-	COG2814G	efflux transporter	914457	916013	OR1
-	160	16077908	yfiV	BSU08410	-	COG1846K	MarR family transcriptional regulator	916124	916606	OR1
+	856	255767194	mprF	BSU08425	-	COG2898S	hypothetical protein	916778	919348	OF254
-	325	16077911	yfiY	BSU08440	-	COG0614P	iron(III) dicitrate transporter binding lipoprotein	919366	920343	OR1
+	333	16077912	yfiZ	BSU08450	-	COG0609P	iron(III) siderophore transport permease	920474	921475	OF255
+	343	16077913	yfhA	BSU08460	-	COG0609P	iron(III) siderophore transport permease	921472	922503	OF255
+	293	16077914	yfhB	BSU08470	-	COG0384R	isomerase	922618	923499	OF255
+	194	16077915	yfhC	BSU08480	-	COG0778C	oxidoreductase	923587	924171	OF256
-	63	16077916	yfhD	BSU08490	-	-	hypothetical protein	924210	924401	OR1
-	36	16077917	yfhE	BSU08500	-	-	hypothetical protein	924468	924578	OR1
-	303	16077918	yfhF	BSU08510	-	COG1090R	nucleotide binding protein	924633	925544	OR1
+	264	16077919	recX	BSU08520	-	COG2137R	recombination regulator RecX	925633	926427	OF257
+	104	16077920	yfhH	BSU08530	-	-	hypothetical protein	926429	926743	OF257
+	397	16077921	yfhI	BSU08540	-	COG2814G	efflux transporter	926886	928079	OF257
-	50	50812199	sspK	BSU08550	-	-	acid-soluble spore protein K	928112	928264	OR1
+	89	16077922	yfhJ	BSU08560	-	-	hypothetical protein	928389	928658	OF258
+	172	16077923	yfhK	BSU08570	-	COG3103T	hypothetical protein	928803	929321	OF259
+	110	16077924	yfhL	BSU08580	-	COG5658S	SdpC immunity factor	929406	929738	OF260
+	286	16077925	yfhM	BSU08590	-	COG0596R	hydrolase	929725	930585	OF260
+	329	16077926	csbB	BSU08600	-	COG0463M	glycosyl transferase family protein	930818	931807	OF260
+	861	255767195	yfhO	BSU08610	-	COG4485S	hypothetical protein	931879	934464	OF261
-	327	16077928	yfhP	BSU08620	-	COG1988R	membrane hydrolase	934457	935440	OR1
+	369	16077929	yfhQ	BSU08630	-	COG1194L	A/G-specific adenine glycosylase	935656	936765	OF262
-	74	16077930	yfhS	BSU08640	-	-	hypothetical protein	936773	936997	OR1
+	250	16077931	fabL	BSU08650	-	COG1028IQR	enoyl-ACP reductase	937079	937831	OF263
+	84	16077932	sspE	BSU08660	-	-	small acid-soluble spore protein	937900	938154	OF264
+	114	16077933	ygaB	BSU08670	-	-	hypothetical protein	938243	938587	OF265
+	176	255767196	ygaC	BSU08680	-	COG3557J	hypothetical protein	938731	939261	OF266
+	589	16077935	ygaD	BSU08690	-	COG1132V	ABC transporter ATP-binding protein	939322	941091	OF267
-	353	16077936	ygaE	BSU08700	-	COG4129S	hypothetical protein	941168	942229	OR1
-	429	255767197	gsaB	BSU08710	-	COG0001H	glutamate-1-semialdehyde aminotransferase	942449	943738	OR1
+	157	50812202	ygaF	BSU08720	-	COG1225O	bacterioferritin comigratory protein; peroxiredoxin	943891	944364	OF268
+	145	16077938	perR	BSU08730	-	COG0735P	Fur family transcriptional regulator	944487	944924	OF269
-	117	50812203	ygzB	BSU08740	-	-	hypothetical protein	944959	945312	OR1
+	294	16077940	ygxA	BSU08750	-	-	hypothetical protein	945520	946404	OF270
-	258	255767198	spo0M	BSU08760	-	COG4326R	sporulation-control gene	953373	954149	OR1
+	67	255767199	ygzA	BSU08770	-	-	hypothetical protein	954291	954494	OF271
-	90	255767200	ygzC	BSU08779	-	COG5577M	hypothetical protein	954579	954851	OR1
+	230	255767201	ygaJ	BSU08780	-	COG3340E	peptidase	954893	955585	OF272
+	590	255767202	thiC	BSU08790	-	COG0422H	thiamine biosynthesis protein ThiC	955895	957667	OF273
-	451	255767203	ygaK	BSU08800	-	COG0277C	FAD-dependent oxidoreductase	957705	959060	OR1
+	72	16077946	senS	BSU08810	-	-	transcriptional regulator	959290	959508	OF274
-	483	255767204	katA	BSU08820	-	COG0753P	vegetative catalase 1	959535	960986	OR1
+	255	255767205	ssuB	BSU08830	-	COG1116P	aliphatic sulfonate ABC transporter ATP-binding protein	961394	962161	OF275
+	332	16077949	ssuA	BSU08840	-	COG0715P	aliphatic sulfonate ABC transporter binding lipoprotein	962179	963177	OF275
+	276	16077950	ssuC	BSU08850	-	COG0600P	aliphatic sulfonate ABC transporter permease	963174	964004	OF275
+	376	50812205	ssuD	BSU08860	-	COG2141C	alkanesulfonate monooxygenase	964027	965157	OF275
+	178	16077952	ygaN	BSU08870	-	-	sulfur oxidoreductase	965261	965797	OF275
+	89	16077953	rpsN	BSU08880	-	COG0199J	30S ribosomal protein S14	965909	966178	OF276
-	157	16077954	ygaO	BSU08890	-	-	hypothetical protein	966196	966669	OR1
-	66	255767206	ygzD	BSU08899	-	COG1476K	HTH-type transcriptional regulator	966671	966871	OR1
-	207	16077955	yhzB	BSU08900	-	COG3382S	hypothetical protein	967229	967852	OR1
+	386	255767207	yhbA	BSU08910	-	COG1600C	iron-sulfur containing oxidoreductase subunit	967935	969095	OF277
+	311	16077957	yhbB	BSU08920	-	-	hypothetical protein	969162	970097	OF278
+	160	255767208	cspR	BSU08930	-	COG0219J	rRNA methylase	970135	970617	OF278
+	238	16077959	yhbD	BSU08940	-	-	nucleic acid binding protein	970667	971383	OF278
+	237	16077960	yhbE	BSU08950	-	COG1664M	hypothetical protein	971374	972087	OF278
+	235	255767209	yhbF	BSU08960	-	COG1664M	hypothetical protein	972099	972806	OF278
+	631	16077962	prkA	BSU08970	-	COG2766T	serine protein kinase	973156	975051	OF278
+	392	16077963	yhbH	BSU08980	-	COG2718S	hypothetical protein	975231	976409	OF279
+	154	16077964	yhbI	BSU08990	-	COG1846K	MarR family transcriptional regulator	976569	977033	OF280
+	221	16077965	yhbJ	BSU09000	-	COG1566V	hypothetical protein	977069	977734	OF280
+	532	16077966	yhcA	BSU09010	-	COG2814G	exporter	977775	979373	OF280
+	176	16077967	yhcB	BSU09020	-	COG0655R	oxidoreductase	979396	979926	OF280
+	124	16077968	yhcC	BSU09030	-	-	hypothetical protein	979939	980313	OF280
+	51	16077969	yhcD	BSU09040	-	-	hypothetical protein	980313	980468	OF280
+	253	16077970	yhcE	BSU09050	-	-	hypothetical protein	980473	981234	OF280
+	121	16077971	yhcF	BSU09060	-	COG1725K	GntR family transcriptional regulator	981237	981602	OF280
+	232	16077972	yhcG	BSU09070	-	COG1131V	ABC transporter ATP-binding protein	981604	982302	OF280
+	305	16077973	yhcH	BSU09080	-	COG1131V	ABC transporter ATP-binding protein	982319	983236	OF280
+	313	16077974	yhcI	BSU09090	-	COG1277R	ABC transporter permease	983229	984170	OF280
-	67	16077975	cspB	BSU09100	-	COG1278K	cold-shock protein	984262	984465	OR1
+	276	255767210	yhcJ	BSU09110	-	COG1464P	ABC transporter binding lipoprotein	984901	985731	OF280
-	359	16077977	yhcK	BSU09120	-	COG2199T	diguanylate cyclase or phosphodiesterase	985734	986813	OR1
+	463	16077978	tcyP	BSU09130	-	COG1823R	sodium-cystine symporter	986986	988377	OF281
-	151	16077979	yhcM	BSU09140	-	-	hypothetical protein	988417	988872	OR1
+	189	255767211	yhcN	BSU09150	-	-	lipoprotein	989022	989591	OF282
+	322	255767212	yhcO	BSU09165	-	-	hypothetical protein	989712	990680	OF283
-	217	16077983	yhcQ	BSU09180	-	COG5577M	hypothetical protein	990612	991265	OR1
+	1217	16077984	yhcR	BSU09190	-	COG0737F	non specific extracellular endonuclease cleaving RNA and DNA	991348	995001	OF284
+	198	16077985	yhcS	BSU09200	-	COG3764M	secreted enzyme; sortase	994998	995594	OF284
-	302	255767213	yhcT	BSU09210	-	COG0564J	RNA pseudouridine synthase	995624	996532	OR1
+	131	255767214	yhcU	BSU09220	-	-	hypothetical protein	996643	997038	OF284
+	140	16077988	yhcV	BSU09230	-	COG0517R	oxidoreductase	997175	997597	OF285
+	220	16077989	yhcW	BSU09240	-	COG0637R	phosphoglycolate phosphatase	997724	998386	OF286
+	513	255767215	yhcX	BSU09250	-	COG0388R	amidohydrolase	998402	999943	OF286
+	450	255767216	yhxA	BSU09260	-	COG0161H	aminotransferase	1000364	1001716	OF286
+	192	16077992	glpP	BSU09270	-	COG1954K	glycerol-3-phosphate responding transcription antiterminator	1001744	1002322	OF286
+	274	16077993	glpF	BSU09280	-	COG0580G	glycerol permease	1002501	1003325	OF286
+	496	255767217	glpK	BSU09290	-	COG0554C	glycerol kinase	1003344	1004834	OF286
+	555	255767218	glpD	BSU09300	-	COG0578C	glycerol-3-phosphate oxidase	1004975	1006642	OF286
+	581	255767219	pgcA	BSU09310	-	COG1109G	alpha-phosphoglucomutase	1006774	1008519	OF287
+	379	16077997	yhcY	BSU09320	-	COG4585T	two-component sensor histidine kinase YhcZ	1008668	1009807	OF288
+	214	16077998	yhcZ	BSU09330	-	COG2197TK	two-component response regulator YhcY	1009804	1010448	OF288
+	174	16077999	yhdA	BSU09340	-	COG0431R	oxidoreductase, NAD(P)H-FMN and ferric iron reductase	1010445	1010969	OF288
-	80	16078000	yhdB	BSU09350	-	-	hypothetical protein	1010984	1011226	OR1
+	107	16078001	yhdC	BSU09360	-	-	hypothetical protein	1011427	1011750	OF288
-	488	255767220	lytF	BSU09370	-	COG0791M	gamma-D-glutamate-meso-diaminopimelate muropeptidase	1011792	1013258	OR1
-	146	16078003	nsrR	BSU09380	-	COG1959K	NO-dependent activator of the ResDE regulon	1013411	1013851	OR1
-	552	16078004	ygxB	BSU09390	-	-	hypothetical protein	1013958	1015616	OR1
+	468	16078005	spoVR	BSU09400	-	COG2719S	spore cortex synthesis protein	1015647	1017053	OF289
-	461	255767221	phoA	BSU09410	-	COG1785P	alkaline phosphatase	1017083	1018468	OR1
+	334	255767222	lytE	BSU09420	-	COG0791M	cell wall hydrolase	1018998	1020002	OF290
-	291	255767223	citR	BSU09430	-	COG0583K	transcriptional regulator CitR	1020073	1020948	OR1
+	366	255767224	citA	BSU09440	-	COG0372C	citrate synthase I	1021057	1022157	OF291
+	289	16078010	yhdF	BSU09450	-	COG1028IQR	NAD(P)-dependent dehydrogenase	1022231	1023100	OF292
+	465	16078011	ctrA	BSU09460	-	COG0531E	branched-chain amino acid transporter	1023350	1024747	OF293
+	451	16078012	yhdH	BSU09470	-	COG0733R	sodium-dependent transporter	1024865	1026220	OF294
-	469	16078013	yhdI	BSU09480	-	COG1167KE	PLP-dependent transcriptional regulator	1026255	1027664	OR1
+	142	16078014	yhdJ	BSU09490	-	COG1246E	acetyltransferase	1027774	1028202	OF295
-	96	16078015	yhdK	BSU09500	-	-	negative regulator of the activity of sigma-M	1028233	1028523	OR1
-	358	16078016	yhdL	BSU09510	-	-	negative regulator of the activity of sigma-M	1028511	1029587	OR1
-	163	16078017	sigM	BSU09520	-	COG1595K	RNA polymerase sigma factor SigM	1029577	1030068	OR1
+	331	16078018	yhdN	BSU09530	-	COG0667C	aldo/keto reductase	1030265	1031260	OF296
+	199	16078019	plsC	BSU09540	-	COG0204I	1-acylglycerol-3-phosphate O-acyltransferase	1031395	1031994	OF297
-	444	16078020	yhdP	BSU09550	-	COG1253R	transporter or sensor	1032063	1033397	OR1
-	143	16078021	cueR	BSU09560	-	COG0789K	copper efflux transcriptional regulator	1033458	1033889	OR1
+	393	16078022	yhdR	BSU09570	-	COG0436E	aspartate aminotransferase	1034046	1035227	OF298
+	461	16078024	yhdT	BSU09590	-	COG1253R	hypothetical protein	1035554	1036939	OF299
-	118	16078025	crcBA	BSU09600	-	COG0239D	camphor resistance protein CrcB	1036953	1037309	OR1
-	131	16078026	yhdV	BSU09610	-	COG0239D	integral membrane protein	1037306	1037701	OR1
-	243	16078027	yhdW	BSU09620	-	COG0584C	glycerophosphodiester phosphodiesterase	1037688	1038419	OR1
+	35	16078028	yhdX	BSU09630	-	-	hypothetical protein	1038653	1038760	OF300
+	371	16078029	yhdY	BSU09640	-	COG0668M	hypothetical protein	1038909	1040024	OF301
+	247	16078030	yhdZ	BSU09650	-	COG0846K	NAD-dependent deacetylase	1040094	1040837	OF302
-	282	16078031	yheN	BSU09660	-	COG0726G	polysaccharide deacetylase	1040861	1041709	OR1
+	282	16078032	dat	BSU09670	-	COG0115EH	D-alanine aminotransferase	1041994	1042842	OF303
-	453	16078033	nhaC	BSU09680	-	COG1757C	Na+/H+ antiporter	1042885	1044246	OR1
-	166	50812206	nhaX	BSU09690	-	COG0589T	stress response protein, UspA family	1044373	1044873	OR1
+	53	16078035	yheJ	BSU09700	-	-	hypothetical protein	1045037	1045198	OF304
+	585	16078036	yheI	BSU09710	-	COG1132V	ABC transporter ATP-binding protein	1045318	1047075	OF305
+	673	16078037	yheH	BSU09720	-	COG1132V	ABC transporter ATP-binding protein	1047072	1049093	OF305
-	206	16078038	yheG	BSU09730	-	COG2910R	NADH-flavin oxidoreductase	1049142	1049762	OR1
-	41	16078039	yheF	BSU09740	-	-	hypothetical protein	1049801	1049926	OR1
-	67	16078040	sspB	BSU09750	-	-	small acid-soluble spore protein	1050031	1050234	OR1
-	72	16078041	yheE	BSU09760	-	-	hypothetical protein	1050443	1050661	OR1
-	453	255767225	yheD	BSU09770	-	-	spore coat associated protein	1050811	1052172	OR1
-	363	16078043	yheC	BSU09780	-	COG0189HJ	spore coat associated protein	1052162	1053253	OR1
+	377	16078044	yheB	BSU09790	-	COG4399S	hypothetical protein	1053520	1054653	OF305
+	117	16078045	yheA	BSU09800	-	COG3679S	hypothetical protein	1054746	1055099	OF306
-	357	16078046	yhaZ	BSU09810	-	COG4335L	hypothetical protein	1055143	1056216	OR1
+	288	50812207	yhaX	BSU09830	-	COG0561R	hydrolase	1056702	1057568	OF307
+	501	16081159	hemZ	BSU09840	-	COG0635H	coproporphyrinogen III oxidase	1057680	1059185	OF308
-	405	255767226	yhaU	BSU09850	-	COG0475P	K+ efflux transporter	1059203	1060420	OR1
-	165	16078050	khtT	BSU09860	-	COG0490P	K+/H+ antiporter for K+ efflux	1060427	1060924	OR1
-	112	16078051	khtS	BSU09870	-	-	K+/H+ antiporter for K+ efflux	1060988	1061326	OR1
+	255	255767227	yhaR	BSU09880	-	COG1024I	enoyl-CoA hydratase	1061491	1062258	OF309
-	61	255767228	yhzD	BSU09889	-	-	hypothetical protein	1062279	1062464	OR1
+	298	255767229	natA	BSU09890	-	COG4152R	Na+-efflux ABC transporter ATP-binding protein	1062591	1063487	OF310
+	419	255767230	natB	BSU09900	-	COG1668CP	sodium ABC transporter permease	1063480	1064739	OF310
+	408	16078055	yhaO	BSU09910	-	COG0420L	exonuclease	1064846	1066072	OF310
+	963	16078056	yhaN	BSU09920	-	COG4717S	DNA metabolism ATPase	1066077	1068968	OF310
+	314	16078057	yhaM	BSU09930	-	COG3481R	3'-5' exoribonuclease	1069042	1069986	OF310
+	70	16078058	yhaL	BSU09940	-	-	sporulation factor	1070111	1070323	OF311
-	292	16078059	prsA	BSU09950	-	COG0760O	molecular chaperone lipoprotein	1070364	1071242	OR1
+	28	255767231	yhzE	BSU09958	-	-	hypothetical protein	1071402	1071488	OF312
-	172	255767232	yhaJ	BSU09965	-	-	bacteriocin	1072042	1072560	OR1
+	113	16078062	yhaI	BSU09980	-	-	hypothetical protein	1072768	1073109	OF313
-	203	16078063	hpr	BSU09990	-	COG1846K	transcriptional regulator Hpr	1073106	1073717	OR1
-	118	16078064	yhaH	BSU10000	-	COG4980R	hypothetical protein	1073895	1074251	OR1
+	63	255767233	yhzF	BSU10009	-	-	hypothetical protein	1074381	1074572	OF314
-	172	255767234	trpP	BSU10010	-	-	tryptophan transporter	1074646	1075164	OR1
-	359	16078066	serC	BSU10020	-	COG1932HE	phosphoserine aminotransferase	1075289	1076368	OR1
-	145	16078067	hinT	BSU10030	-	COG0537FGR	Hit-family hydrolase	1076515	1076952	OR1
+	247	16078068	ecsA	BSU10040	-	COG1131V	ABC transporter ATP-binding protein	1077440	1078183	OF315
+	408	16078069	ecsB	BSU10050	-	COG4473U	ABC transporter membrane protein	1078176	1079402	OF315
+	236	16078070	ecsC	BSU10060	-	-	hydrolase	1079422	1080132	OF315
-	396	255767235	yhaA	BSU10070	-	COG1473R	amidohydrolase	1080150	1081340	OR1
-	463	16078072	yhfA	BSU10080	-	COG1593G	transporter	1081413	1082804	OR1
-	104	16078073	yhgB	BSU10090	-	-	hypothetical protein	1082870	1083184	OR1
-	166	16078074	yhgC	BSU10100	-	COG2329R	hypothetical protein	1083229	1083729	OR1
+	714	255767236	pbpF	BSU10110	-	COG0744M	penicillin-binding protein 2C required for spore germination	1083851	1085995	OF315
+	353	16078076	hemE	BSU10120	-	COG0407H	uroporphyrinogen decarboxylase	1086117	1087178	OF316
+	310	16078077	hemH	BSU10130	-	COG0276H	ferrochelatase	1087250	1088182	OF317
+	470	16078078	hemY	BSU10140	-	COG1232H	protoporphyrinogen oxidase	1088197	1089609	OF317
+	191	16078079	yhgD	BSU10150	-	COG1309K	transcriptional regulator	1089755	1090330	OF317
+	775	16078080	yhgE	BSU10160	-	COG1511S	methyl-accepting protein	1090401	1092728	OF318
-	325	16078081	fabHB	BSU10170	-	COG0332I	3-oxoacyl-ACP synthase	1092770	1093747	OR1
+	258	16078082	yhfC	BSU10180	-	COG4377S	hypothetical protein	1093874	1094650	OF319
+	346	16078084	yhfE	BSU10200	-	COG1363G	endoglucanase	1095063	1096103	OF320
+	135	16078085	yhfF	BSU10210	-	COG4405S	hypothetical protein	1096116	1096523	OF320
-	429	16078086	gltT	BSU10220	-	COG1301C	proton/sodium-glutamate symport protein	1096560	1097849	OR1
-	46	16078087	yhfH	BSU10230	-	-	hypothetical protein	1098120	1098260	OR1
+	244	16078088	yhfI	BSU10240	-	COG1234R	metal-dependent hydrolase	1098412	1099146	OF320
+	331	16078089	yhfJ	BSU10250	-	COG0095H	lipoate-protein ligase	1099159	1100154	OF320
+	214	16078090	yhfK	BSU10260	-	COG0702MG	epimerase	1100219	1100863	OF320
+	513	255767237	yhfL	BSU10270	-	COG0318IQ	long-chain-fatty-acid--CoA ligase	1100980	1102521	OF321
-	131	16078092	yhfM	BSU10280	-	-	hypothetical protein	1102560	1102955	OR1
+	426	16078093	yhfN	BSU10290	-	COG0501O	membrane metalloprotease	1103104	1104384	OF322
-	381	255767238	aprE	BSU10300	-	COG1404O	serine alkaline protease (subtilisin E)	1104423	1105568	OR1
+	149	16078095	yhfO	BSU10310	-	COG1247M	N-acetyltransferase	1106003	1106452	OF323
+	330	16078096	yhfP	BSU10320	-	COG0604CR	oxidoreductase	1106524	1107516	OF324
+	323	255767239	yhfQ	BSU10330	-	COG4594P	iron(III) dicitrate-binding lipoprotein	1107733	1108704	OF325
-	193	16078098	phoE	BSU10340	-	COG0406G	phosphatase	1108736	1109317	OR1
-	364	16078099	yhfS	BSU10350	-	COG0183I	acetyl-CoA acetyltransferase	1109388	1110482	OR1
-	479	16078100	yhfT	BSU10360	-	COG0318IQ	acyl-CoA synthetase	1110479	1111918	OR1
-	186	16078101	bioY	BSU10370	-	COG1268R	biotin transporter	1111925	1112485	OR1
-	432	16078102	hemAT	BSU10380	-	COG0840NT	heme-based dioxygen sensor	1112620	1113918	OR1
-	509	16078103	yhfW	BSU10390	-	COG0665E	Rieske [2Fe-2S] oxygenase	1114057	1115586	OR1
+	285	16078104	yhxC	BSU10400	-	COG1028IQR	oxidoreductase	1115698	1116555	OF326
-	77	16078105	yhzC	BSU10410	-	-	hypothetical protein	1116583	1116816	OR1
+	192	16078106	comK	BSU10420	-	COG4903K	competence transcription factor (CTF)	1117109	1117687	OF327
-	299	16078107	yhxD	BSU10430	-	COG1028IQR	oxidoreductase	1117734	1118633	OR1
