Contig	Source	Type	Pos_Start	Pos_End	Strand	Locus_Tag	Product	Predicted_Operon
HCP21_2_90384	img_mer_v340	CDS	3	155	-	HCP21_00041330	hypothetical protein	HCP21_2_90384-R1
HCP21_2_91384	img_mer_v340	CDS	3	172	-	HCP21_00041340	hypothetical protein	HCP21_2_91384-R1
HCP21_2_96556	img_mer_v340	CDS	1	96	+	HCP21_00041350	hypothetical protein	HCP21_2_96556-F1
HCP21_2_97056	img_mer_v340	CDS	3	112	-	HCP21_00041360	hypothetical protein	HCP21_2_97056-R1
HCP21_2_99556	img_mer_v340	CDS	6	125	+	HCP21_00041370	Kinesin motor domain.	HCP21_2_99556-F1
HCP21_6612	img_mer_v340	CDS	3	98	+	HCP21_00041380	hypothetical protein	HCP21_6612-F1
HCP21_5019	img_mer_v340	CDS	3	992	+	HCP21_00041390	Beige/BEACH domain.	HCP21_5019-F1
HCP21_6111	img_mer_v340	CDS	1	102	-	HCP21_00041400	hypothetical protein	HCP21_6111-R1
HCP21_6411	img_mer_v340	CDS	51	383	+	HCP21_00041410	hypothetical protein	HCP21_6411-F1
HCP21_4341	img_mer_v340	CDS	12	311	-	HCP21_00041420	hypothetical protein	HCP21_4341-R1
HCP21_8333	img_mer_v340	CDS	87	950	+	HCP21_00041430	hypothetical protein	HCP21_8333-F1
HCP21_7553	img_mer_v340	CDS	2	1387	+	HCP21_00041440	hypothetical protein	HCP21_7553-F1
HCP21_2314	img_mer_v340	CDS	1	444	-	HCP21_00041450	hypothetical protein	HCP21_2314-R1
HCP21_9046	img_mer_v340	CDS	2	364	+	HCP21_00041460	hypothetical protein	HCP21_9046-F1
HCP21_1224	img_mer_v340	CDS	153	350	+	HCP21_00041470	hypothetical protein	HCP21_1224-F1
HCP21_844_	img_mer_v340	CDS	214	336	+	HCP21_00041480	hypothetical protein	HCP21_844_-F1
HCP21_10275	img_mer_v340	CDS	2	322	+	HCP21_00041490	hypothetical protein	HCP21_10275-F1
HCP21_8641	img_mer_v340	CDS	3	488	-	HCP21_00041500	GTPase SAR1 and related small G proteins	HCP21_8641-R1
HCP21_5290	img_mer_v340	CDS	2	472	+	HCP21_00041510	hypothetical protein	HCP21_5290-F1
HCP21_10455	img_mer_v340	CDS	2	349	+	HCP21_00041520	hypothetical protein	HCP21_10455-F1
HCP21_10455	img_mer_v340	CDS	385	450	-	HCP21_00041530	hypothetical protein	HCP21_10455-R1
HCP21_4352	img_mer_v340	CDS	94	654	-	HCP21_00041540	Dullard-like phosphatase domain	HCP21_4352-R1
HCP21_7954	img_mer_v340	CDS	3	389	-	HCP21_00041550	hypothetical protein	HCP21_7954-R1
HCP21_6903	img_mer_v340	CDS	2	475	-	HCP21_00041560	hypothetical protein	HCP21_6903-R1
HCP21_10480	img_mer_v340	CDS	3	128	+	HCP21_00041570	hypothetical protein	HCP21_10480-F1
HCP21_702_	img_mer_v340	CDS	3	262	-	HCP21_00041580	hypothetical protein	HCP21_702_-R1
HCP21_3952	img_mer_v340	CDS	2	430	-	HCP21_00041590	hypothetical protein	HCP21_3952-R1
HCP21_2_18875	img_mer_v340	CDS	3	116	-	HCP21_00041600	Protein tyrosine phosphatase	HCP21_2_18875-R1
HCP21_2_23875	img_mer_v340	CDS	23	157	-	HCP21_00041610	Cyclin-dependent kinase regulatory subunit.	HCP21_2_23875-R1
HCP21_2_25375	img_mer_v340	CDS	5	187	-	HCP21_00041620	hypothetical protein	HCP21_2_25375-R1
HCP21_2_26375	img_mer_v340	CDS	4	213	-	HCP21_00041630	hypothetical protein	HCP21_2_26375-R1
HCP21_2_26875	img_mer_v340	CDS	2	220	+	HCP21_00041640	hypothetical protein	HCP21_2_26875-F1
HCP21_2_34600	img_mer_v340	CDS	8	142	+	HCP21_00041650	Domain of unknown function (DUF377).	HCP21_2_34600-F1
HCP21_2_36600	img_mer_v340	CDS	7	170	+	HCP21_00041660	hypothetical protein	HCP21_2_36600-F1
HCP21_2_37100	img_mer_v340	CDS	2	163	+	HCP21_00041670	Glycosyl hydrolase family 20, catalytic domain.	HCP21_2_37100-F1
HCP21_2_38100	img_mer_v340	CDS	4	207	-	HCP21_00041680	Copine.	HCP21_2_38100-R1
HCP21_2_39202	img_mer_v340	CDS	1	99	+	HCP21_00041690	DHHC zinc finger domain.	HCP21_2_39202-F1
HCP21_2_44202	img_mer_v340	CDS	1	120	+	HCP21_00041700	Bromodomain.	HCP21_2_44202-F1
HCP21_2_47202	img_mer_v340	CDS	1	135	+	HCP21_00041710	Protein kinase domain.	HCP21_2_47202-F1
HCP21_2_48702	img_mer_v340	CDS	37	144	+	HCP21_00041720	Maltose acetyltransferase.	HCP21_2_48702-F1
HCP21_2_49702	img_mer_v340	CDS	1	108	+	HCP21_00041730	NADH:flavin oxidoreductases, Old Yellow Enzyme family	HCP21_2_49702-F1
HCP21_2_51702	img_mer_v340	CDS	2	175	+	HCP21_00041740	Methionyl-tRNA synthetase	HCP21_2_51702-F1
HCP21_2_57588	img_mer_v340	CDS	3	100	-	HCP21_00041750	hypothetical protein	HCP21_2_57588-R1
HCP21_2_61088	img_mer_v340	CDS	3	116	-	HCP21_00041760	Protein kinase domain.	HCP21_2_61088-R1
HCP21_2_78731	img_mer_v340	CDS	14	166	-	HCP21_00041770	hypothetical protein	HCP21_2_78731-R1
HCP21_2_84385	img_mer_v340	CDS	2	109	+	HCP21_00041780	hypothetical protein	HCP21_2_84385-F1
HCP21_2_84885	img_mer_v340	CDS	3	112	-	HCP21_00041790	hypothetical protein	HCP21_2_84885-R1
HCP21_2_88385	img_mer_v340	CDS	5	130	+	HCP21_00041800	hypothetical protein	HCP21_2_88385-F1
HCP21_2_162436	img_mer_v340	CDS	1	222	+	HCP21_00041810	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	HCP21_2_162436-F1
HCP21_294_	img_mer_v340	CDS	40	210	-	HCP21_00041820	Transmembrane amino acid transporter protein.	HCP21_294_-R1
HCP21_294_	img_mer_v340	CDS	198	314	-	HCP21_00041830	hypothetical protein	HCP21_294_-R1
HCP21_3275	img_mer_v340	CDS	56	445	-	HCP21_00041840	hypothetical protein	HCP21_3275-R1
HCP21_8461	img_mer_v340	CDS	20	424	-	HCP21_00041850	Cyclin	HCP21_8461-R1
HCP21_7838	img_mer_v340	CDS	67	420	+	HCP21_00041860	hypothetical protein	HCP21_7838-F1
HCP21_7586	img_mer_v340	CDS	3	320	+	HCP21_00041870	hypothetical protein	HCP21_7586-F1
HCP21_7317	img_mer_v340	CDS	2	391	+	HCP21_00041880	hypothetical protein	HCP21_7317-F1
HCP21_5836	img_mer_v340	CDS	69	389	+	HCP21_00041890	hypothetical protein	HCP21_5836-F1
HCP21_1157	img_mer_v340	CDS	179	382	-	HCP21_00041900	hypothetical protein	HCP21_1157-R1
HCP21_2216	img_mer_v340	CDS	1	285	+	HCP21_00041910	Uncharacterized protein conserved in bacteria	HCP21_2216-F1
HCP21_6757	img_mer_v340	CDS	59	490	+	HCP21_00041920	Predicted transporter component	HCP21_6757-F1
HCP21_10259	img_mer_v340	CDS	2	388	-	HCP21_00041930	hypothetical protein	HCP21_10259-R1
HCP21_4447	img_mer_v340	CDS	47	370	-	HCP21_00041940	hypothetical protein	HCP21_4447-R1
HCP21_4447	img_mer_v340	CDS	452	946	-	HCP21_00041960	hypothetical protein	HCP21_4447-R1
HCP21_4447	img_mer_v340	tRNA	367	471	-			HCP21_4447-R1
HCP21_5818	img_mer_v340	CDS	3	536	+	HCP21_00041970	hypothetical protein	HCP21_5818-F1
HCP21_9034	img_mer_v340	CDS	3	842	-	HCP21_00041980	Major Facilitator Superfamily.	HCP21_9034-R1
HCP21_5600	img_mer_v340	CDS	50	256	+	HCP21_00041990	hypothetical protein	HCP21_5600-F1
HCP21_5600	img_mer_v340	CDS	340	480	+	HCP21_00042000	hypothetical protein	HCP21_5600-F2
HCP21_6728	img_mer_v340	CDS	35	1279	-	HCP21_00042010	hypothetical protein	HCP21_6728-R1
HCP21_5877	img_mer_v340	CDS	2	247	+	HCP21_00042020	hypothetical protein	HCP21_5877-F1
HCP21_5877	img_mer_v340	CDS	262	351	-	HCP21_00042030	hypothetical protein	HCP21_5877-R1
HCP21_4505	img_mer_v340	CDS	3	494	-	HCP21_00042040	hypothetical protein	HCP21_4505-R1
HCP21_3782	img_mer_v340	CDS	3	677	+	HCP21_00042050	hypothetical protein	HCP21_3782-F1
HCP21_9506	img_mer_v340	CDS	6	320	-	HCP21_00042060	hypothetical protein	HCP21_9506-R1
HCP21_9330	img_mer_v340	CDS	44	697	+	HCP21_00042070	Serine/threonine protein kinase	HCP21_9330-F1
HCP21_1_1_newblercontig06748	img_mer_v340	CDS	20	226	+	HCP21_00042080	Predicted hydrolase of the alpha/beta-hydrolase fold	HCP21_1_1_newblercontig06748-F1
HCP21_1_1_newblercontig07922	img_mer_v340	CDS	3	229	-	HCP21_00042090	Mismatch repair ATPase (MutS family)	HCP21_1_1_newblercontig07922-R1
HCP21_1_1_newblercontig11851	img_mer_v340	CDS	2	183	-	HCP21_00042100	Serine/threonine protein kinase	HCP21_1_1_newblercontig11851-R1
HCP21_1_1_newblercontig13474	img_mer_v340	CDS	3	130	-	HCP21_00042110	hypothetical protein	HCP21_1_1_newblercontig13474-R1
HCP21_2_4043	img_mer_v340	CDS	6	116	-	HCP21_00042120	Glycosyl hydrolases family 31.	HCP21_2_4043-R1
HCP21_2_11543	img_mer_v340	CDS	3	166	-	HCP21_00042130	ABC-type multidrug transport system, ATPase and permease components	HCP21_2_11543-R1
HCP21_2_12043	img_mer_v340	CDS	10	192	-	HCP21_00042140	Kinesin motor domain.	HCP21_2_12043-R1
HCP21_2_13043	img_mer_v340	CDS	2	196	+	HCP21_00042150	RNA-binding proteins (RRM domain)	HCP21_2_13043-F1
HCP21_2_13543	img_mer_v340	CDS	37	222	-	HCP21_00042160	hypothetical protein	HCP21_2_13543-R1
HCP21_2_16376	img_mer_v340	CDS	3	104	-	HCP21_00042170	Glycosyl hydrolases family 38 N-terminal domain.	HCP21_2_16376-R1
HCP21_2_17376	img_mer_v340	CDS	2	106	+	HCP21_00042180	hypothetical protein	HCP21_2_17376-F1
HCP21_2_20876	img_mer_v340	CDS	4	126	-	HCP21_00042190	Protein kinase domain.	HCP21_2_20876-R1
HCP21_2_23876	img_mer_v340	CDS	23	157	-	HCP21_00042200	Cyclin-dependent kinase regulatory subunit.	HCP21_2_23876-R1
HCP21_2_28601	img_mer_v340	rRNA	29	106	+	HCP21_00042210	5S	HCP21_2_28601-F1
HCP21_2_32601	img_mer_v340	CDS	34	123	+	HCP21_00042220	hypothetical protein	HCP21_2_32601-F1
HCP21_2_37101	img_mer_v340	CDS	3	181	-	HCP21_00042230	hypothetical protein	HCP21_2_37101-R1
HCP21_2_41703	img_mer_v340	CDS	3	110	-	HCP21_00042240	Protein kinase domain.	HCP21_2_41703-R1
HCP21_2_48203	img_mer_v340	CDS	1	135	+	HCP21_00042250	hypothetical protein	HCP21_2_48203-F1
HCP21_2_52703	img_mer_v340	CDS	5	181	+	HCP21_00042260	Nitroreductase	HCP21_2_52703-F1
HCP21_2_54703	img_mer_v340	CDS	4	219	+	HCP21_00042270	3''5''-cyclic nucleotide phosphodiesterase.	HCP21_2_54703-F1
HCP21_2_63589	img_mer_v340	CDS	24	131	-	HCP21_00042280	hypothetical protein	HCP21_2_63589-R1
HCP21_2_73732	img_mer_v340	CDS	1	117	+	HCP21_00042290	Serine/threonine protein kinase	HCP21_2_73732-F1
HCP21_2_77732	img_mer_v340	CDS	3	151	-	HCP21_00042300	Ras family.	HCP21_2_77732-R1
HCP21_2_78732	img_mer_v340	CDS	6	167	-	HCP21_00042310	hypothetical protein	HCP21_2_78732-R1
HCP21_2_80232	img_mer_v340	CDS	2	186	-	HCP21_00042320	Piwi domain.	HCP21_2_80232-R1
HCP21_2_85386	img_mer_v340	CDS	1	114	+	HCP21_00042330	Uncharacterized Fe-S center protein	HCP21_2_85386-F1
HCP21_2_87386	img_mer_v340	CDS	3	125	-	HCP21_00042340	hypothetical protein	HCP21_2_87386-R1
HCP21_2_96558	img_mer_v340	CDS	33	110	-	HCP21_00042350	hypothetical protein	HCP21_2_96558-R1
HCP21_2_98058	img_mer_v340	CDS	4	117	+	HCP21_00042360	hypothetical protein	HCP21_2_98058-F1
HCP21_2_104058	img_mer_v340	CDS	3	188	-	HCP21_00042370	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	HCP21_2_104058-R1
HCP21_2_108157	img_mer_v340	CDS	3	110	-	HCP21_00042380	hypothetical protein	HCP21_2_108157-R1
HCP21_2_108657	img_mer_v340	CDS	5	112	+	HCP21_00042390	hypothetical protein	HCP21_2_108657-F1
HCP21_2_114657	img_mer_v340	CDS	7	153	-	HCP21_00042400	Diacylglycerol kinase catalytic domain.	HCP21_2_114657-R1
HCP21_2_115157	img_mer_v340	CDS	3	158	+	HCP21_00042410	Uncharacterized protein containing DHHC-type Zn finger	HCP21_2_115157-F1
HCP21_2_117657	img_mer_v340	CDS	2	195	-	HCP21_00042420	Cyclic nucleotide-binding domain.	HCP21_2_117657-R1
HCP21_2_122405	img_mer_v340	CDS	3	107	+	HCP21_00042430	alpha/beta hydrolase fold.	HCP21_2_122405-F1
HCP21_2_123905	img_mer_v340	CDS	2	112	+	HCP21_00042440	Kinesin motor domain.	HCP21_2_123905-F1
HCP21_2_125405	img_mer_v340	CDS	3	119	+	HCP21_00042450	hypothetical protein	HCP21_2_125405-F1
HCP21_2_131905	img_mer_v340	CDS	13	204	-	HCP21_00042460	Deacetylases, including yeast histone deacetylase and acetoin utilization protein	HCP21_2_131905-R1
HCP21_2_134584	img_mer_v340	CDS	13	105	+	HCP21_00042470	hypothetical protein	HCP21_2_134584-F1
HCP21_2_138584	img_mer_v340	CDS	10	120	+	HCP21_00042480	hypothetical protein	HCP21_2_138584-F1
HCP21_2_141084	img_mer_v340	CDS	7	132	+	HCP21_00042490	hypothetical protein	HCP21_2_141084-F1
HCP21_2_142584	img_mer_v340	CDS	2	148	+	HCP21_00042500	Pyruvate kinase	HCP21_2_142584-F1
HCP21_2_145084	img_mer_v340	CDS	8	166	+	HCP21_00042510	RasGEF domain.	HCP21_2_145084-F1
HCP21_9333	img_mer_v340	CDS	3	368	+	HCP21_00042520	hypothetical protein	HCP21_9333-F1
HCP21_741_	img_mer_v340	CDS	1	282	+	HCP21_00042530	hypothetical protein	HCP21_741_-F1
HCP21_3103	img_mer_v340	CDS	85	384	-	HCP21_00042540	hypothetical protein	HCP21_3103-R1
HCP21_1356	img_mer_v340	CDS	2	175	+	HCP21_00042550	hypothetical protein	HCP21_1356-F1
HCP21_1356	img_mer_v340	CDS	196	357	-	HCP21_00042560	hypothetical protein	HCP21_1356-R1
HCP21_5451	img_mer_v340	CDS	3	434	-	HCP21_00042570	hypothetical protein	HCP21_5451-R1
HCP21_5037	img_mer_v340	CDS	241	303	-	HCP21_00042580	hypothetical protein	HCP21_5037-R1
HCP21_1305	img_mer_v340	CDS	115	411	+	HCP21_00042590	hypothetical protein	HCP21_1305-F1
HCP21_1131	img_mer_v340	CDS	3	424	-	HCP21_00042600	Malic enzyme	HCP21_1131-R1
HCP21_3175	img_mer_v340	CDS	64	513	+	HCP21_00042610	Renin receptor-like protein.	HCP21_3175-F1
HCP21_8295	img_mer_v340	CDS	2	1372	+	HCP21_00042620	hypothetical protein	HCP21_8295-F1
HCP21_3866	img_mer_v340	CDS	2	412	-	HCP21_00042630	hypothetical protein	HCP21_3866-R1
HCP21_7004	img_mer_v340	CDS	170	418	+	HCP21_00042640	Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 1	HCP21_7004-F1
HCP21_2860	img_mer_v340	CDS	21	317	-	HCP21_00042650	hypothetical protein	HCP21_2860-R1
HCP21_3359	img_mer_v340	CDS	1	972	+	HCP21_00042660	hypothetical protein	HCP21_3359-F1
HCP21_2752	img_mer_v340	CDS	3	356	+	HCP21_00042670	hypothetical protein	HCP21_2752-F1
HCP21_3503	img_mer_v340	CDS	397	717	-	HCP21_00042680	CCAAT-binding factor, subunit C	HCP21_3503-R1
HCP21_1915	img_mer_v340	CDS	61	252	+	HCP21_00042690	RING-finger-containing ubiquitin ligase	HCP21_1915-F1
HCP21_9903	img_mer_v340	CDS	141	860	+	HCP21_00042700	hypothetical protein	HCP21_9903-F1
HCP21_10905	img_mer_v340	CDS	1	312	-	HCP21_00042710	hypothetical protein	HCP21_10905-R1
HCP21_10905	img_mer_v340	CDS	530	1024	-	HCP21_00042720	hypothetical protein	HCP21_10905-R1
HCP21_7746	img_mer_v340	CDS	1	324	+	HCP21_00042730	hypothetical protein	HCP21_7746-F1
HCP21_1800	img_mer_v340	CDS	62	352	+	HCP21_00042740	hypothetical protein	HCP21_1800-F1
HCP21_10113	img_mer_v340	CDS	2	76	+	HCP21_00042750	hypothetical protein	HCP21_10113-F1
HCP21_2_7382	img_mer_v340	CDS	21	137	+	HCP21_00042760	Molecular chaperone	HCP21_2_7382-F1
HCP21_2_11382	img_mer_v340	CDS	63	182	-	HCP21_00042770	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)	HCP21_2_11382-R1
HCP21_2_26215	img_mer_v340	CDS	9	212	-	HCP21_00042780	GTPase SAR1 and related small G proteins	HCP21_2_26215-R1
HCP21_2_29940	img_mer_v340	CDS	3	109	-	HCP21_00042790	Holliday junction resolvasome, DNA-binding subunit	HCP21_2_29940-R1
HCP21_2_34940	img_mer_v340	CDS	6	146	+	HCP21_00042800	hypothetical protein	HCP21_2_34940-F1
HCP21_2_35940	img_mer_v340	CDS	3	161	+	HCP21_00042810	Beta-glucosidase-related glycosidases	HCP21_2_35940-F1
HCP21_2_37440	img_mer_v340	CDS	7	189	+	HCP21_00042820	hypothetical protein	HCP21_2_37440-F1
HCP21_2_38940	img_mer_v340	CDS	7	234	+	HCP21_00042830	TFIIF-interacting CTD phosphatases, including NLI-interacting factor	HCP21_2_38940-F1
HCP21_2_44042	img_mer_v340	CDS	3	116	+	HCP21_00042840	hypothetical protein	HCP21_2_44042-F1
HCP21_2_45042	img_mer_v340	CDS	1	123	+	HCP21_00042850	hypothetical protein	HCP21_2_45042-F1
HCP21_2_50042	img_mer_v340	CDS	5	160	+	HCP21_00042860	hypothetical protein	HCP21_2_50042-F1
HCP21_2_53542	img_mer_v340	CDS	1	144	+	HCP21_00042870	N-acetyl-beta-hexosaminidase	HCP21_2_53542-F1
HCP21_2_59428	img_mer_v340	CDS	3	107	-	HCP21_00042880	hypothetical protein	HCP21_2_59428-R1
HCP21_2_67428	img_mer_v340	CDS	10	186	+	HCP21_00042890	hypothetical protein	HCP21_2_67428-F1
HCP21_2_70071	img_mer_v340	CDS	2	102	-	HCP21_00042900	Panthothenate synthetase	HCP21_2_70071-R1
HCP21_2_71571	img_mer_v340	CDS	2	109	+	HCP21_00042910	SOS-response transcriptional repressors (RecA-mediated autopeptidases)	HCP21_2_71571-F1
HCP21_2_79571	img_mer_v340	CDS	2	178	+	HCP21_00042920	hypothetical protein	HCP21_2_79571-F1
HCP21_2_87725	img_mer_v340	CDS	2	129	-	HCP21_00042930	ABC-type multidrug transport system, ATPase and permease components	HCP21_2_87725-R1
HCP21_2_88725	img_mer_v340	CDS	4	135	-	HCP21_00042940	Ankyrin repeat.	HCP21_2_88725-R1
HCP21_2_89225	img_mer_v340	CDS	2	139	+	HCP21_00042950	Collagenase and related proteases	HCP21_2_89225-F1
HCP21_2_92225	img_mer_v340	CDS	3	191	-	HCP21_00042960	ABC-type multidrug transport system, ATPase component	HCP21_2_92225-R1
HCP21_2_103897	img_mer_v340	CDS	1	183	+	HCP21_00042970	Uncharacterized flavoproteins	HCP21_2_103897-F1
HCP21_2_105397	img_mer_v340	CDS	2	229	+	HCP21_00042980	ATP synthase subunit D.	HCP21_2_105397-F1
HCP21_2_105996	img_mer_v340	CDS	3	100	-	HCP21_00042990	ATPase components of ABC transporters with duplicated ATPase domains	HCP21_2_105996-R1
HCP21_2_106996	img_mer_v340	CDS	3	104	-	HCP21_00043000	hypothetical protein	HCP21_2_106996-R1
HCP21_2_111496	img_mer_v340	CDS	3	125	+	HCP21_00043010	Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)	HCP21_2_111496-F1
HCP21_2_115496	img_mer_v340	CDS	5	94	-	HCP21_00043020	hypothetical protein	HCP21_2_115496-R1
HCP21_2_116996	img_mer_v340	CDS	22	180	-	HCP21_00043030	hypothetical protein	HCP21_2_116996-R1
HCP21_2_119496	img_mer_v340	CDS	2	162	-	HCP21_00043040	Protein kinase domain.	HCP21_2_119496-R1
HCP21_2_123744	img_mer_v340	CDS	8	112	-	HCP21_00043050	hypothetical protein	HCP21_2_123744-R1
HCP21_2_126244	img_mer_v340	CDS	3	125	+	HCP21_00043060	Electron transfer flavoprotein, alpha subunit	HCP21_2_126244-F1
HCP21_2_130244	img_mer_v340	CDS	1	168	+	HCP21_00043070	hypothetical protein	HCP21_2_130244-F1
HCP21_2_139923	img_mer_v340	CDS	2	129	-	HCP21_00043080	Protein kinase domain.	HCP21_2_139923-R1
HCP21_2_141423	img_mer_v340	CDS	7	138	+	HCP21_00043090	hypothetical protein	HCP21_2_141423-F1
HCP21_2_148923	img_mer_v340	CDS	1	225	+	HCP21_00043100	DNA polymerase sigma	HCP21_2_148923-F1
HCP21_2_158276	img_mer_v340	CDS	3	131	-	HCP21_00043110	hypothetical protein	HCP21_2_158276-R1
HCP21_2_159276	img_mer_v340	CDS	6	149	+	HCP21_00043120	hypothetical protein	HCP21_2_159276-F1
HCP21_2_162776	img_mer_v340	CDS	51	236	+	HCP21_00043130	Calcium-activated chloride channel.	HCP21_2_162776-F1
HCP21_413_	img_mer_v340	CDS	32	391	+	HCP21_00043140	Superfamily II DNA/RNA helicases, SNF2 family	HCP21_413_-F1
HCP21_2463	img_mer_v340	CDS	2	445	-	HCP21_00043150	hypothetical protein	HCP21_2463-R1
HCP21_4245	img_mer_v340	CDS	30	497	+	HCP21_00043160	hypothetical protein	HCP21_4245-F1
HCP21_5436	img_mer_v340	CDS	2	70	-	HCP21_00043170	hypothetical protein	HCP21_5436-R1
HCP21_5436	img_mer_v340	CDS	63	1040	-	HCP21_00043180	hypothetical protein	HCP21_5436-R1
HCP21_3854	img_mer_v340	CDS	3	677	+	HCP21_00043190	5''-nucleotidase/2'',3''-cyclic phosphodiesterase and related esterases	HCP21_3854-F1
HCP21_5721	img_mer_v340	CDS	234	458	+	HCP21_00043200	DHHC zinc finger domain.	HCP21_5721-F1
HCP21_6229	img_mer_v340	CDS	19	321	-	HCP21_00043210	Ras family.	HCP21_6229-R1
HCP21_1470	img_mer_v340	CDS	16	420	-	HCP21_00043220	hypothetical protein	HCP21_1470-R1
HCP21_218_	img_mer_v340	CDS	203	331	+	HCP21_00043230	hypothetical protein	HCP21_218_-F1
HCP21_1314	img_mer_v340	CDS	1	363	+	HCP21_00043240	hypothetical protein	HCP21_1314-F1
HCP21_368_	img_mer_v340	CDS	3	227	-	HCP21_00043250	hypothetical protein	HCP21_368_-R1
HCP21_5767	img_mer_v340	CDS	2	562	-	HCP21_00043260	hypothetical protein	HCP21_5767-R1
HCP21_2523	img_mer_v340	CDS	2	583	+	HCP21_00043270	Ion channel.	HCP21_2523-F1
HCP21_1891	img_mer_v340	CDS	1	390	-	HCP21_00043280	hypothetical protein	HCP21_1891-R1
HCP21_1836	img_mer_v340	CDS	1	333	-	HCP21_00043290	hypothetical protein	HCP21_1836-R1
HCP21_3642	img_mer_v340	CDS	2	565	-	HCP21_00043300	hypothetical protein	HCP21_3642-R1
HCP21_466_	img_mer_v340	CDS	15	515	+	HCP21_00043310	hypothetical protein	HCP21_466_-F1
HCP21_5314	img_mer_v340	CDS	70	288	+	HCP21_00043320	Formin Homology 2 Domain.	HCP21_5314-F1
HCP21_7975	img_mer_v340	CDS	3	437	+	HCP21_00043330	hypothetical protein	HCP21_7975-F1
HCP21_7835	img_mer_v340	CDS	54	479	-	HCP21_00043340	hypothetical protein	HCP21_7835-R1
HCP21_6896	img_mer_v340	CDS	2	424	+	HCP21_00043350	hypothetical protein	HCP21_6896-F1
HCP21_24__	img_mer_v340	CDS	2	172	+	HCP21_00043360	Actin-like ATPase involved in cell morphogenesis	HCP21_24__-F1
HCP21_24__	img_mer_v340	CDS	169	2253	-	HCP21_00043370	Signal transduction histidine kinase	HCP21_24__-R1
HCP21_24__	img_mer_v340	CDS	2539	3843	-	HCP21_00043380	trigger factor	HCP21_24__-R1
HCP21_24__	img_mer_v340	CDS	4053	4280	-	HCP21_00043390	hypothetical protein	HCP21_24__-R1
HCP21_24__	img_mer_v340	CDS	4284	5198	-	HCP21_00043400	hypothetical protein	HCP21_24__-R1
HCP21_24__	img_mer_v340	CDS	5335	5691	-	HCP21_00043410	ribosomal protein L20	HCP21_24__-R1
HCP21_24__	img_mer_v340	CDS	5712	5909	-	HCP21_00043420	ribosomal protein L35	HCP21_24__-R1
HCP21_24__	img_mer_v340	CDS	5933	6481	-	HCP21_00043430	translation initiation factor IF-3	HCP21_24__-R1
HCP21_2_5544	img_mer_v340	CDS	2	123	-	HCP21_00043440	ATPase components of ABC transporters with duplicated ATPase domains	HCP21_2_5544-R1
HCP21_2_7044	img_mer_v340	CDS	1	132	+	HCP21_00043450	hypothetical protein	HCP21_2_7044-F1
HCP21_2_12044	img_mer_v340	CDS	3	194	-	HCP21_00043460	Cysteine synthase	HCP21_2_12044-R1
HCP21_2_25377	img_mer_v340	CDS	3	188	-	HCP21_00043470	Predicted kinase related to dihydroxyacetone kinase	HCP21_2_25377-R1
HCP21_2_26877	img_mer_v340	CDS	49	237	+	HCP21_00043480	Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains	HCP21_2_26877-F1
HCP21_2_28602	img_mer_v340	CDS	2	106	+	HCP21_00043490	ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components	HCP21_2_28602-F1
HCP21_2_36102	img_mer_v340	CDS	8	163	-	HCP21_00043500	hypothetical protein	HCP21_2_36102-R1
HCP21_2_52704	img_mer_v340	CDS	2	153	-	HCP21_00043510	Protein kinase domain.	HCP21_2_52704-R1
HCP21_2_54704	img_mer_v340	CDS	7	216	+	HCP21_00043520	hypothetical protein	HCP21_2_54704-F1
HCP21_2_67090	img_mer_v340	CDS	7	177	+	HCP21_00043530	Excinuclease ATPase subunit	HCP21_2_67090-F1
HCP21_2_75233	img_mer_v340	CDS	3	127	-	HCP21_00043540	Aminopeptidase N	HCP21_2_75233-R1
HCP21_2_75733	img_mer_v340	CDS	2	126	-	HCP21_00043550	hypothetical protein	HCP21_2_75733-R1
HCP21_2_76233	img_mer_v340	CDS	3	134	-	HCP21_00043560	MORN repeat.	HCP21_2_76233-R1
HCP21_2_92887	img_mer_v340	CDS	6	212	-	HCP21_00043570	Calcineurin-like phosphoesterase.	HCP21_2_92887-R1
HCP21_2_97059	img_mer_v340	CDS	3	112	-	HCP21_00043580	5''-3'' exonuclease (including N-terminal domain of PolI)	HCP21_2_97059-R1
HCP21_2_112158	img_mer_v340	CDS	3	131	-	HCP21_00043590	Predicted ATPase involved in replication control, Cdc46/Mcm family	HCP21_2_112158-R1
HCP21_2_115158	img_mer_v340	CDS	3	157	-	HCP21_00043600	hypothetical protein	HCP21_2_115158-R1
HCP21_2_119158	img_mer_v340	CDS	6	227	-	HCP21_00043610	Carbohydrate phosphorylase.	HCP21_2_119158-R1
HCP21_2_126906	img_mer_v340	CDS	1	129	+	HCP21_00043620	Methionyl-tRNA synthetase	HCP21_2_126906-F1
HCP21_2_131906	img_mer_v340	CDS	3	202	-	HCP21_00043630	Kinesin-like protein	HCP21_2_131906-R1
